schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	excitatory_set3	19	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	Exc L5/6 NP	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11426	156	201	637	8	17	
yu_mast_contrast_status_v2	excitatory_set3	20	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	Exc L5/6 NP	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11017	375	1752	2067	36	45	
yu_mast_contrast_status_v2	excitatory_set3	21	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	Exc L5/6 NP	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	11458	227	967	561	24	11	
yu_mast_contrast_status_v2	excitatory_set3	22	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	Exc L5/6 NP	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11068	569	295	285	7	6	
yu_mast_contrast_status_v2	excitatory_set3	23	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	Exc L5/6 NP	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	10941	301	975	2667	27	53	
yu_mast_contrast_status_v2	excitatory_set3	24	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	Exc L5/6 NP	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	10832	259	920	413	26	9	
yu_mast_contrast_status_v2	excitatory_set3	25	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	Exc L6 CT	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	10952	322	298	712	8	16	
yu_mast_contrast_status_v2	excitatory_set3	26	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	Exc L6 CT	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11011	646	2273	3016	36	45	
yu_mast_contrast_status_v2	excitatory_set3	27	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	Exc L6 CT	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	11372	482	1402	835	25	11	
yu_mast_contrast_status_v2	excitatory_set3	28	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e2	Exc L6 CT	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11040	595	390	337	7	6	
yu_mast_contrast_status_v2	excitatory_set3	29	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	Exc L6 CT	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	10709	507	1546	3559	27	53	
yu_mast_contrast_status_v2	excitatory_set3	30	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e4	Exc L6 CT	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	11173	313	1116	523	27	10	
yu_mast_contrast_status_v2	excitatory_set3	31	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	Exc L6 THEMIS NFIA	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	12451	988	839	2594	8	16	
yu_mast_contrast_status_v2	excitatory_set3	32	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e33	Exc L6 THEMIS NFIA	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	12341	423	7459	7539	37	45	
yu_mast_contrast_status_v2	excitatory_set3	33	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	Exc L6 THEMIS NFIA	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12778	768	4415	1837	25	11	
yu_mast_contrast_status_v2	excitatory_set3	34	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e2	Exc L6 THEMIS NFIA	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	12446	1991	1323	1024	7	6	
yu_mast_contrast_status_v2	excitatory_set3	35	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e33	Exc L6 THEMIS NFIA	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	12109	225	4552	9666	27	53	
yu_mast_contrast_status_v2	excitatory_set3	36	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	Exc L6 THEMIS NFIA	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12342	712	3580	1566	27	10	
yu_mast_contrast_status_v2	excitatory_set3	37	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	Exc L6b	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	12691	383	247	749	8	16	
yu_mast_contrast_status_v2	excitatory_set3	38	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e33	Exc L6b	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	12197	782	2695	3137	36	45	
yu_mast_contrast_status_v2	excitatory_set3	39	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	Exc L6b	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12798	1021	1520	846	25	11	
yu_mast_contrast_status_v2	excitatory_set3	40	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e2	Exc L6b	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	12439	1685	363	383	7	6	
yu_mast_contrast_status_v2	excitatory_set3	41	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e33	Exc L6b	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11765	916	2241	3581	28	53	
yu_mast_contrast_status_v2	excitatory_set3	42	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e4	Exc L6b	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12447	777	1260	480	27	10	
yu_mast_contrast_status_v2	excitatory_set3	43	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	Exc NRGN	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4830	6	332	782	8	17	
yu_mast_contrast_status_v2	excitatory_set3	44	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e33	Exc NRGN	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	4461	332	2965	4875	37	45	
yu_mast_contrast_status_v2	excitatory_set3	45	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e4	Exc NRGN	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	4552	62	1585	1156	26	11	
yu_mast_contrast_status_v2	excitatory_set3	46	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	Exc NRGN	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	5155	3510	545	1905	7	6	
yu_mast_contrast_status_v2	excitatory_set3	47	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	Exc NRGN	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	4637	2847	4383	6868	28	52	
yu_mast_contrast_status_v2	excitatory_set3	48	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	Exc NRGN	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	6308	619	4828	461	27	10	
yu_mast_contrast_status_v2	excitatory_set3	49	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e2	Exc RELN CHD7	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	9439	556	160	6923	8	17	
yu_mast_contrast_status_v2	excitatory_set3	50	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e33	Exc RELN CHD7	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	7584	2561	2001	4024	35	44	
yu_mast_contrast_status_v2	excitatory_set3	51	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	Exc RELN CHD7	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	8697	2022	884	736	24	11	
yu_mast_contrast_status_v2	excitatory_set3	52	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	Exc RELN CHD7	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	7646	1580	202	673	7	6	
yu_mast_contrast_status_v2	excitatory_set3	53	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e33	Exc RELN CHD7	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5606	1058	22508	8393	28	51	
yu_mast_contrast_status_v2	excitatory_set3	54	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	Exc RELN CHD7	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	6936	2526	5746	397	26	10	
